True_Sector,Pattern,F_T_STL,F_S_STL,F_R_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,Num_Kernels,Kernel_Expression,Operations
S2,Seasonal,0.024539532842514977,0.0,0.0,0.024539532842514977,0.0,0.0,4,(((Per(p=12)+Per(p=96))+RQ(α=1))+RBF(l=1)),"[np.str_('+'), np.str_('+'), np.str_('+')]"
S1,Composite,0.9862383466309248,0.6946985505151517,0.0,0.9862383466309248,0.6946985505151517,0.0,5,((((WN(σ=0.1)*Per(p=730))*RQ(α=10))*Per(p=40))+Lin(σ=10)),"[np.str_('*'), np.str_('*'), np.str_('*'), np.str_('+')]"
S2,Seasonal,0.9704854875329946,0.8184098923816198,0.0,0.9704854875329946,0.8184098923816198,0.0,4,(((Per(p=6)*Per(p=168))+Per(p=96))*Per(p=40)),"[np.str_('*'), np.str_('+'), np.str_('*')]"
S1,Composite,0.35266018732245696,0.43538096915131674,0.0,0.35266018732245696,0.43538096915131674,0.0,2,(Lin(σ=0)*Per(p=4)),[np.str_('*')]
S2,Seasonal,0.009978280127409533,0.11281022094910054,0.0,0.009978280127409533,0.11281022094910054,0.0,4,(((Per(p=12)*RBF(l=1))+Per(p=96))*WN(σ=1)),"[np.str_('*'), np.str_('+'), np.str_('*')]"
S2,Seasonal,0.9878938480599112,0.4003113273841825,0.0,0.9878938480599112,0.4003113273841825,0.0,2,(Per(p=26)*RQ(α=10)),[np.str_('*')]
S2,Seasonal,0.9618111736961822,0.758765925946488,0.0,0.9618111736961822,0.758765925946488,0.0,4,(((Per(p=4)*Per(p=40))+RBF(l=1))*Per(p=30)),"[np.str_('*'), np.str_('+'), np.str_('*')]"
S2,Seasonal,0.019390134122305613,0.4845173776861257,0.0,0.019390134122305613,0.4845173776861257,0.0,5,((((Const(1)+Per(p=4))*RBF(l=0.1))*RBF(l=10))*Per(p=730)),"[np.str_('+'), np.str_('*'), np.str_('*'), np.str_('*')]"
S2,Seasonal,0.9166341021404727,0.39397645673973847,0.0,0.9166341021404727,0.39397645673973847,0.0,2,(RBF(l=10)+Per(p=6)),[np.str_('+')]
S2,Seasonal,0.6288305804685688,0.007617559567189902,0.0,0.6288305804685688,0.007617559567189902,0.0,4,(((RBF(l=1)+Per(p=60))+Per(p=52))+WN(σ=1)),"[np.str_('+'), np.str_('+'), np.str_('+')]"
S2,Seasonal,0.3022624122069888,0.6840420449749128,0.0,0.3022624122069888,0.6840420449749128,0.0,4,(((Per(p=24)+Per(p=7))*Per(p=10))+RBF(l=0.1)),"[np.str_('+'), np.str_('*'), np.str_('+')]"
S2,Seasonal,0.2669190936231788,0.0,0.0,0.2669190936231788,0.0,0.0,3,((Per(p=7)*Per(p=60))*Per(p=6)),"[np.str_('*'), np.str_('*')]"
S2,Seasonal,0.803827779289303,0.20922994681671514,0.0,0.803827779289303,0.20922994681671514,0.0,4,(((Per(p=14)*Per(p=40))*Per(p=40))+RQ(α=1)),"[np.str_('*'), np.str_('*'), np.str_('+')]"
S3,Stationary,0.9914728705923932,0.991164384634008,0.0,0.9914728705923932,0.991164384634008,0.0,1,WN(σ=1),['None']
S2,Seasonal,0.9281848035762558,0.7976383278284312,0.0,0.9281848035762558,0.7976383278284312,0.0,3,((RQ(α=0.1)+RQ(α=10))+Per(p=730)),"[np.str_('+'), np.str_('+')]"
S4,Trending,0.999999319037565,0.7243776429084196,0.0,0.999999319037565,0.7243776429084196,0.0,1,Lin(σ=1),['None']
S2,Seasonal,0.7495252233454266,0.1255026810008636,0.0,0.7495252233454266,0.1255026810008636,0.0,2,(Per(p=30)*RQ(α=10)),[np.str_('*')]
S2,Seasonal,0.8394161092312187,0.13535684606166964,0.0,0.8394161092312187,0.13535684606166964,0.0,3,((Per(p=10)+Per(p=168))+Per(p=168)),"[np.str_('+'), np.str_('+')]"
S1,Composite,0.9883883106563419,0.36720103631264467,0.0,0.9883883106563419,0.36720103631264467,0.0,3,((Lin(σ=0)+Per(p=7))+Per(p=26)),"[np.str_('+'), np.str_('+')]"
S3,Stationary,0.9681739471299562,0.9493950040226012,0.0,0.9681739471299562,0.9493950040226012,0.0,1,RQ(α=1),['None']
S2,Seasonal,0.034306384285024305,0.0,0.0,0.034306384285024305,0.0,0.0,2,(Per(p=168)*Per(p=4)),[np.str_('*')]
S2,Seasonal,0.9895156109804235,0.761045315817083,0.0,0.9895156109804235,0.761045315817083,0.0,3,((Per(p=14)*Per(p=730))+Per(p=60)),"[np.str_('*'), np.str_('+')]"
S2,Seasonal,0.10694471194707755,0.12451252036675065,0.0,0.10694471194707755,0.12451252036675065,0.0,5,((((Per(p=672)+Per(p=48))*Per(p=672))+WN(σ=0.1))+Per(p=60)),"[np.str_('+'), np.str_('*'), np.str_('+'), np.str_('+')]"
S2,Seasonal,0.006056439431062377,0.4539962158467167,0.0,0.006056439431062377,0.4539962158467167,0.0,4,(((Per(p=52)*Per(p=7))*Per(p=60))*Per(p=365)),"[np.str_('*'), np.str_('*'), np.str_('*')]"
S2,Seasonal,0.9989548255115509,0.6738104912408702,0.0,0.9989548255115509,0.6738104912408702,0.0,2,(Per(p=30)+Per(p=40)),[np.str_('+')]
S2,Seasonal,0.9571082251698552,0.7408013207193856,0.0,0.9571082251698552,0.7408013207193856,0.0,4,(((Per(p=40)*Per(p=12))+Per(p=48))*Per(p=30)),"[np.str_('*'), np.str_('+'), np.str_('*')]"
S3,Stationary,0.7799219761561499,0.9359978781491498,0.0,0.7799219761561499,0.9359978781491498,0.0,1,WN(σ=1),['None']
S2,Seasonal,0.7668578509857408,0.7028545103150159,0.0,0.7668578509857408,0.7028545103150159,0.0,2,(Per(p=10)*Per(p=52)),[np.str_('*')]
S2,Seasonal,0.9595252217018017,0.5382033672569249,0.0,0.9595252217018017,0.5382033672569249,0.0,5,((((RQ(α=0.1)+Per(p=365))*Per(p=26))+WN(σ=1))*Per(p=672)),"[np.str_('+'), np.str_('*'), np.str_('+'), np.str_('*')]"
S2,Seasonal,0.9146958573427169,0.9713949787810527,0.0,0.9146958573427169,0.9713949787810527,0.0,4,(((Per(p=7)*Per(p=365))*Per(p=96))*Per(p=6)),"[np.str_('*'), np.str_('*'), np.str_('*')]"
S2,Seasonal,0.38203808716529686,0.016829025287544264,0.0,0.38203808716529686,0.016829025287544264,0.0,5,((((Per(p=60)*Per(p=26))*Per(p=26))*Per(p=60))+Per(p=336)),"[np.str_('*'), np.str_('*'), np.str_('*'), np.str_('+')]"
S1,Composite,0.3311999441233867,0.6232630625972058,0.0,0.3311999441233867,0.6232630625972058,0.0,4,(((Lin(σ=10)+Per(p=24))+Per(p=14))+Per(p=40)),"[np.str_('+'), np.str_('+'), np.str_('+')]"
S1,Composite,0.9835602710172066,0.07802011413528631,0.0,0.9835602710172066,0.07802011413528631,0.0,2,(Lin(σ=1)+Per(p=26)),[np.str_('+')]
S3,Stationary,0.9235196041219633,0.9769158921412777,0.0,0.9235196041219633,0.9769158921412777,0.0,1,RBF(l=1),['None']
S2,Seasonal,0.5641114316362323,0.17518698884176076,0.0,0.5641114316362323,0.17518698884176076,0.0,5,((((Per(p=60)*Per(p=12))*Per(p=365))+WN(σ=1))+RQ(α=10)),"[np.str_('*'), np.str_('*'), np.str_('+'), np.str_('+')]"
